embed,frnn,filter,gnn,wcc,exatrkx,num_evts
0.0007,0.0040,0.0019,0.0129,0.0486,0.0682,1
0.0008,0.0041,0.0026,0.0106,0.0826,0.1007,1
0.0008,0.0039,0.0022,0.0125,0.0815,0.1009,1
0.0008,0.0042,0.0024,0.0115,0.0920,0.1109,1
0.0008,0.0038,0.0019,0.0129,0.0831,0.1025,1
0.0007,0.0038,0.0022,0.0125,0.0906,0.1098,1
0.0008,0.0038,0.0021,0.0127,0.0738,0.0931,1
0.0008,0.0040,0.0020,0.0128,0.0831,0.1028,1
0.0007,0.0041,0.0023,0.0124,0.0815,0.1010,1
0.0007,0.0040,0.0021,0.0124,0.0763,0.0956,1
0.0008,0.0040,0.0022,0.0119,0.0871,0.1060,1
0.0007,0.0040,0.0024,0.0124,0.0868,0.1062,1
0.0006,0.0040,0.0028,0.0106,0.0853,0.1033,1
0.0007,0.0041,0.0023,0.0125,0.0869,0.1064,1
