embed,frnn,filter,gnn,wcc,exatrkx,num_evts
0.0010,0.0049,0.0044,0.0132,0.0492,0.0726,1
0.0013,0.0049,0.0254,0.0141,0.0833,0.1290,1
0.0011,0.0047,0.0138,0.0130,0.0822,0.1147,1
0.0014,0.0050,0.0222,0.0131,0.0927,0.1343,1
0.0011,0.0046,0.0074,0.0132,0.0838,0.1100,1
0.0011,0.0046,0.0142,0.0131,0.0913,0.1243,1
0.0011,0.0047,0.0081,0.0130,0.0745,0.1012,1
0.0010,0.0049,0.0079,0.0132,0.0837,0.1106,1
0.0011,0.0049,0.0165,0.0131,0.0822,0.1178,1
0.0010,0.0049,0.0035,0.0127,0.0769,0.0989,1
0.0011,0.0049,0.0120,0.0123,0.0879,0.1182,1
0.0011,0.0049,0.0160,0.0131,0.0874,0.1225,1
0.0014,0.0049,0.0310,0.0181,0.0859,0.1412,1
0.0011,0.0049,0.0165,0.0132,0.0876,0.1231,1
